aX,aY,aZ,gX,gY,gZ
2.141,-1.771,-1.293,22.461,-6.104,20.264
2.114,-2.023,-1.524,27.710,-8.362,8.301
1.936,-2.138,-1.625,24.963,-17.456,-3.845
1.636,-2.185,-1.664,18.738,-35.522,-9.644
1.334,-2.262,-1.656,12.573,-56.885,-7.141
0.984,-2.221,-1.597,4.578,-65.491,9.827
0.625,-2.072,-1.545,-7.019,-55.969,48.035
0.245,-1.805,-1.422,-20.996,-35.095,105.164
-0.100,-1.401,-1.174,-30.029,-13.916,174.316
-0.407,-0.866,-0.891,-21.240,-2.502,240.417
-0.534,-0.161,-0.555,2.991,-7.751,290.161
-0.121,0.753,-0.177,36.804,-29.541,305.664
0.525,1.727,0.185,56.641,-40.649,256.653
0.424,2.433,0.675,18.982,-9.338,155.273
-0.046,2.712,1.297,-48.218,26.428,54.260
-0.538,2.800,1.498,-77.515,16.602,-4.456
-0.635,2.730,1.511,-83.923,-35.156,0.488
0.157,2.904,1.971,-119.202,-98.450,64.697
1.068,3.053,2.338,-147.888,-97.473,156.616
1.488,2.631,2.286,-138.428,-23.499,202.454
1.511,1.990,1.996,-111.084,27.771,185.608
1.578,1.331,1.767,-74.768,-0.610,114.441
1.632,0.929,1.757,-35.522,-82.092,0.793
1.376,0.669,1.726,7.080,-147.461,-116.882
0.971,0.461,1.559,45.715,-153.198,-194.580
0.485,0.369,1.223,68.665,-113.281,-208.008
0.104,0.279,0.766,72.815,-45.410,-168.945
-0.141,0.278,0.384,59.937,21.790,-103.699
-0.198,0.344,0.072,45.166,67.932,-34.241
-0.198,0.477,-0.191,39.856,92.163,21.362
-0.150,0.617,-0.395,38.940,92.834,56.274
-0.018,0.731,-0.479,34.790,72.144,72.937
0.243,0.790,-0.464,26.306,42.908,79.407
0.581,0.829,-0.331,9.705,21.362,78.125
0.880,0.760,-0.125,-12.573,13.184,66.345
1.052,0.640,0.062,-30.579,11.902,41.199
1.080,0.525,0.219,-37.354,7.141,10.559
1.045,0.450,0.338,-31.616,-3.052,-17.578
0.937,0.421,0.352,-15.869,-11.047,-38.452
0.836,0.414,0.304,-0.366,-12.390,-46.143
0.771,0.438,0.254,8.423,-8.362,-41.565
0.720,0.416,0.182,12.268,-1.709,-32.898
0.686,0.390,0.114,11.108,5.615,-22.827
0.693,0.343,0.068,7.080,9.827,-11.963
0.734,0.311,0.069,1.892,10.986,-2.747
0.775,0.280,0.092,-2.686,11.658,4.822
0.809,0.286,0.117,-3.845,11.963,11.230
0.849,0.327,0.128,-1.587,12.756,15.930
0.875,0.356,0.117,3.601,12.024,17.212
0.862,0.398,0.108,8.728,8.240,14.221
0.847,0.424,0.088,13.916,1.465,8.728
0.837,0.428,0.066,19.531,-5.066,2.747
0.826,0.414,0.042,22.583,-10.193,-2.319
0.804,0.406,0.016,21.545,-11.658,-2.991
0.839,0.400,-0.002,16.174,-9.583,2.258
0.894,0.404,0.023,5.920,-4.333,10.620
0.946,0.414,0.079,-3.906,3.479,18.066
0.997,0.422,0.117,-8.911,10.376,22.583
1.009,0.439,0.134,-9.338,13.794,21.912
1.003,0.447,0.137,-5.859,13.611,16.602
0.996,0.443,0.138,-0.549,9.155,8.301
0.978,0.432,0.130,4.822,0.854,-0.671
0.957,0.423,0.111,9.460,-4.883,-8.423
0.930,0.419,0.094,11.841,-8.667,-14.343
0.904,0.403,0.074,12.024,-10.925,-17.212
0.882,0.378,0.060,10.315,-11.292,-16.357
0.880,0.371,0.051,6.714,-9.583,-12.451
0.898,0.375,0.045,2.197,-6.348,-6.531
