aX,aY,aZ,gX,gY,gZ
1.624,1.221,1.485,27.588,-26.611,-2.991
1.533,1.290,1.618,13.794,-21.790,-5.249
1.443,1.252,1.731,-5.188,-14.587,-1.892
1.305,1.200,1.849,-26.855,-4.028,2.380
1.132,1.163,1.946,-41.443,13.489,3.845
0.866,1.078,1.903,-41.443,32.349,2.563
0.549,1.009,1.781,-38.208,45.471,-0.916
0.279,0.961,1.665,-29.907,54.993,-4.944
-0.040,0.902,1.482,-17.029,59.753,-10.254
-0.281,0.849,1.242,-2.869,59.509,-16.174
-0.485,0.825,1.054,3.845,51.575,-20.752
-0.672,0.761,0.897,3.296,41.748,-27.039
-0.918,0.617,0.715,-2.380,33.752,-36.316
-1.205,0.445,0.554,-10.742,24.475,-45.898
-1.419,0.326,0.473,-15.381,13.672,-52.795
-1.610,0.280,0.439,-10.498,2.686,-51.758
-1.650,0.278,0.414,-4.700,-4.883,-41.809
-1.564,0.329,0.407,-1.831,-6.287,-26.428
-1.475,0.384,0.419,-3.784,-4.211,-14.282
-1.427,0.415,0.392,-7.935,-1.404,-8.606
-1.330,0.412,0.361,-11.841,-0.610,-8.423
-1.260,0.399,0.389,-19.470,-1.282,-12.085
-1.256,0.358,0.424,-31.921,1.160,-15.198
-1.248,0.328,0.447,-43.213,5.249,-15.015
-1.190,0.328,0.555,-49.988,4.578,-13.245
-1.097,0.306,0.601,-41.382,1.953,-13.245
-0.996,0.270,0.536,-20.691,-0.732,-17.273
-0.946,0.240,0.431,0.366,-2.625,-25.452
-0.918,0.239,0.300,16.235,-2.563,-29.907
-0.853,0.260,0.209,21.851,-2.136,-26.062
-0.773,0.316,0.217,11.536,-1.465,-13.489
-0.670,0.388,0.269,-8.118,3.296,4.089
-0.533,0.464,0.356,-28.564,10.193,21.179
-0.456,0.530,0.453,-40.283,17.212,31.799
-0.352,0.597,0.482,-34.607,19.104,31.982
-0.236,0.632,0.471,-16.602,12.024,20.508
-0.197,0.656,0.447,0.854,3.845,4.761
-0.232,0.647,0.408,10.498,-0.061,-7.019
-0.297,0.633,0.383,9.827,-1.709,-11.536
-0.311,0.617,0.412,0.671,-2.747,-7.874
-0.322,0.619,0.445,-9.705,-2.563,0.977
-0.249,0.624,0.521,-19.714,-2.625,10.376
-0.190,0.635,0.606,-25.269,-0.549,16.235
-0.153,0.646,0.672,-24.292,3.662,15.808
-0.130,0.647,0.711,-19.104,5.859,10.010
-0.148,0.637,0.711,-12.390,6.958,2.502
-0.183,0.622,0.672,-5.432,8.606,-3.235
-0.197,0.614,0.641,-1.892,8.179,-5.859
-0.213,0.606,0.604,-1.587,8.789,-6.042
-0.254,0.587,0.565,-3.601,9.705,-5.371
-0.267,0.569,0.562,-7.324,9.766,-4.211
-0.281,0.565,0.575,-12.329,9.521,-1.038
-0.263,0.582,0.610,-16.296,9.766,3.540
-0.248,0.607,0.655,-18.127,11.963,6.897
-0.249,0.634,0.681,-16.418,13.428,8.301
-0.235,0.655,0.680,-9.888,12.817,7.263
-0.221,0.679,0.650,-0.305,11.047,3.113
-0.186,0.696,0.612,8.606,7.324,-2.075
