aX,aY,aZ,gX,gY,gZ
-1.177,1.295,-1.011,3.845,-145.386,154.297
-1.391,1.457,-1.065,-5.615,-156.555,157.471
-1.578,1.546,-1.065,-11.047,-173.584,158.875
-1.769,1.677,-0.963,-18.311,-195.923,153.625
-1.979,1.777,-0.790,-29.602,-215.942,144.592
-2.169,1.855,-0.636,-26.428,-233.582,130.798
-2.331,1.855,-0.347,-14.099,-251.831,112.244
-2.525,1.876,-0.073,1.709,-270.996,88.745
-2.760,1.858,0.094,15.747,-292.603,57.739
-2.778,1.884,0.434,47.119,-318.115,23.682
-2.744,1.808,0.832,57.495,-345.825,-8.606
-2.568,1.686,1.176,77.271,-358.948,-39.917
-2.331,1.500,1.380,96.313,-360.046,-75.745
-2.087,1.271,1.519,112.061,-351.685,-115.173
-1.760,0.982,1.630,136.047,-335.937,-155.029
-1.476,0.647,1.562,163.452,-312.134,-190.613
-1.266,0.330,1.417,158.630,-278.442,-214.050
-1.104,0.161,1.264,132.141,-242.676,-222.900
-0.972,0.149,1.060,112.915,-214.172,-221.130
-0.945,0.226,0.739,105.103,-190.186,-215.393
-0.961,0.311,0.453,98.694,-175.842,-210.327
-0.982,0.346,0.284,86.792,-176.025,-203.918
-0.909,0.363,0.271,62.805,-184.509,-192.749
-0.854,0.388,0.320,33.936,-189.270,-175.293
-0.823,0.429,0.365,12.817,-188.477,-156.738
-0.790,0.482,0.411,-6.653,-186.646,-137.024
-0.670,0.545,0.527,-28.076,-187.256,-113.342
-0.593,0.499,0.724,-30.334,-184.875,-91.492
-0.448,0.477,1.022,-15.930,-184.875,-80.994
-0.266,0.512,1.332,13.733,-183.167,-81.360
-0.138,0.600,1.577,53.650,-177.490,-95.703
-0.027,0.711,1.700,99.854,-170.654,-123.840
0.098,0.774,1.686,131.348,-162.415,-152.649
0.232,0.757,1.598,135.986,-147.888,-169.312
0.416,0.631,1.505,113.831,-128.967,-172.241
0.498,0.338,1.551,83.618,-108.398,-171.387
0.812,0.010,1.670,53.040,-95.764,-173.340
0.789,-0.383,1.762,30.701,-79.102,-167.419
0.661,-0.678,1.818,19.470,-57.922,-157.104
0.701,-0.796,1.779,26.062,-47.852,-140.930
0.686,-0.734,1.636,52.673,-33.447,-114.929
0.711,-0.513,1.480,72.937,-20.691,-87.097
0.778,-0.266,1.290,88.074,-16.296,-65.613
0.898,-0.006,1.216,96.436,-17.883,-56.702
0.997,0.232,1.138,101.868,-18.921,-62.622
1.197,0.285,1.063,97.961,-15.320,-75.684
1.286,0.103,1.118,67.139,-5.493,-82.031
1.240,-0.164,1.304,23.499,11.292,-83.435
1.199,-0.406,1.405,3.357,30.823,-84.351
1.160,-0.605,1.405,11.475,47.852,-85.571
0.962,-0.696,1.206,38.513,59.998,-85.815
0.798,-0.680,0.942,65.796,63.721,-78.064
0.828,-0.608,0.823,75.623,58.228,-52.734
0.914,-0.394,0.767,62.744,52.734,-12.756
0.968,-0.144,0.715,43.884,52.734,22.705
0.991,0.155,0.640,29.053,54.993,46.021
1.031,0.521,0.612,21.606,55.481,54.932
1.038,0.787,0.633,21.545,52.124,45.288
0.999,0.876,0.672,25.818,48.218,20.264
0.912,0.835,0.675,34.485,45.837,-6.531
0.899,0.759,0.642,48.340,43.945,-26.123
0.902,0.664,0.648,63.354,41.565,-39.001
0.897,0.584,0.595,86.426,39.673,-47.729
0.884,0.555,0.500,99.121,40.771,-48.523
0.841,0.548,0.378,100.891,43.274,-44.617
0.829,0.537,0.300,95.398,43.335,-38.574
0.807,0.528,0.237,87.341,41.443,-32.593
0.835,0.520,0.233,78.064,39.551,-28.748
0.883,0.492,0.293,68.176,37.598,-25.330
0.892,0.481,0.337,57.434,38.147,-22.827
0.904,0.440,0.453,48.523,37.537,-26.428
0.900,0.401,0.518,51.208,35.950,-31.616
0.893,0.391,0.546,61.279,35.278,-35.095
0.877,0.389,0.581,67.383,34.546,-37.048
0.865,0.395,0.573,69.519,33.936,-34.912
0.863,0.417,0.521,69.031,36.743,-28.137
0.866,0.412,0.458,61.401,41.504,-20.203
0.798,0.409,0.305,48.706,47.302,-11.597
0.805,0.417,0.198,34.668,50.049,-1.709
0.857,0.400,0.192,21.606,48.340,7.202
0.864,0.387,0.221,16.113,46.204,9.277
0.854,0.373,0.283,15.747,43.335,4.211
0.847,0.365,0.316,23.560,40.344,-2.930
0.829,0.368,0.322,34.119,37.415,-8.301
0.820,0.375,0.375,39.307,32.166,-12.085
0.824,0.391,0.409,40.405,28.625,-12.207
0.833,0.425,0.380,42.358,29.114,-9.216
0.845,0.458,0.322,40.710,30.701,-5.066
0.842,0.482,0.269,34.302,30.823,-1.953
0.832,0.483,0.240,27.527,29.053,-0.610
0.861,0.464,0.226,20.874,25.269,-1.099
0.894,0.428,0.264,15.808,20.996,-4.028
0.897,0.403,0.291,15.076,18.860,-8.667
